restaurant_name,address,city
"Caldwell, Galloway and Gomez","44310 Navarro Path
Jacksonbury, MA 24506",Rossmouth
Mueller Inc,"7398 Ryan Ramp
South Aliciaborough, IA 83048-0300",Kellyborough
"Perry, Mitchell and Lopez","7371 Anne Inlet
Tinaland, AL 14998-1261",Daniellemouth
Byrd-Orr,"18448 Morgan Pike
Davidville, CO 62355",Kellyborough
Stephens-Potter,"80613 David Vista Suite 443
West Jose, AL 83302-7443",South John
"Berger, Porter and James","5666 Charles Center
Davischester, WI 80586-5534",Port Michaelberg
Haley-Harris,"40108 Daniel Trail
New Justinton, PR 36270",Alisonside
"Gardner, Robbins and Lambert","709 Johnson Flats
Leemouth, MH 17333-0927",Kellyborough
"Thompson, Stevenson and Thompson","5905 Nicole Dam
Williamsbury, GA 38742-0504",Michaelfort
Martinez Group,"Unit 3059 Box 0965
DPO AP 86125",Michaelfort
Powers-Calhoun,"4696 Zuniga Village
Josechester, CO 24568-5136",Dunnburgh
Walsh-Thomas,"88471 Nelson Stravenue Apt. 081
South Nancyview, PW 54108",Alisonside
"Bolton, Gardner and Moss","21920 Jenkins Rue
Port Sandraport, NM 16338",Port Jenniferburgh
Rogers Ltd,"43765 Justin Curve Apt. 747
Lopezshire, GA 70394-6836",Daniellemouth
"Smith, Castro and Lee","21843 Santana Cape
Stephenberg, SC 19055",Michaelfort
Williams-Cole,"441 Theresa Stream
Johnhaven, PW 68948",Kellyborough
Thomas Inc,"Unit 1678 Box 2822
DPO AA 21160",Dunnburgh
Flores-Gomez,"06319 Rocha Way
Port Daniel, IN 53168-9200",Michaelfort
"Navarro, Lane and Alvarez","1728 Priscilla Points Suite 138
Phillipborough, UT 03479",Rossmouth
Lewis-Richards,"00239 Aaron Spring
Christopherchester, FM 84090-1119",South Tonya
Perkins-Cook,"09535 Jane Station Suite 120
Lake Penny, NM 28906",South Tonya
"Willis, Hernandez and Paul","760 Anthony Causeway Apt. 647
South Rachelland, NH 59852-7041",South Tonya
Lopez-Berg,"63666 Porter Radial Suite 863
New Christopher, DC 33152",Kellyborough
Robbins-Parrish,"95176 Leslie Islands
West Terrimouth, TX 78813",Daniellemouth
Ballard-Smith,"7276 French Green Suite 731
New Michael, IN 94422",Port Michaelberg
Ayers Inc,"7029 Samuel Spring
Whiteville, GA 08921",Rossmouth
